,Name,Industry,paid_leave_weeks_woman,unpaid_leave_weeks_woman,paid_leave_weeks_man,unpaid_leave_weeks_man
0,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
1,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
2,Army (British),Government: Federal,39.0,13.0,2.0,
3,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
4,Zurich,Insurance: Life,29.0,,0.0,
5,Etsy,Technology: Consumer Internet,26.0,,26.0,
6,Spotify,Technology: Consumer Internet,26.0,,26.0,
7,Adobe Systems,Technology: Software,26.0,6.0,10.0,
8,AO.com,Retail: Online,26.0,,,
9,Morrison & Foerster LLP,Law Firm,26.0,,,
10,Organizer Inc.,Technology: Software,26.0,,,
11,Worldpay,Technology: Payments,26.0,,,
12,Zynga,Technology: Gaming,26.0,12.0,12.0,
13,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
14,72andsunny,Advertising,24.0,,4.0,
15,Motorola Mobility,Technology: Manufacturing,24.0,,,
16,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
17,ZestFinance,Finance: Loans,24.0,,,
18,World First,Services: Other,24.0,4.0,2.0,
19,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
20,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
21,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
22,Army (British),Government: Federal,39.0,13.0,2.0,
23,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
24,Zurich,Insurance: Life,29.0,,0.0,
25,Etsy,Technology: Consumer Internet,26.0,,26.0,
26,Spotify,Technology: Consumer Internet,26.0,,26.0,
27,Adobe Systems,Technology: Software,26.0,6.0,10.0,
28,AO.com,Retail: Online,26.0,,,
29,Morrison & Foerster LLP,Law Firm,26.0,,,
30,Organizer Inc.,Technology: Software,26.0,,,
31,Worldpay,Technology: Payments,26.0,,,
32,Zynga,Technology: Gaming,26.0,12.0,12.0,
33,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
34,72andsunny,Advertising,24.0,,4.0,
35,Motorola Mobility,Technology: Manufacturing,24.0,,,
36,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
37,ZestFinance,Finance: Loans,24.0,,,
38,World First,Services: Other,24.0,4.0,2.0,
39,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
40,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
41,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
42,Army (British),Government: Federal,39.0,13.0,2.0,
43,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
44,Zurich,Insurance: Life,29.0,,0.0,
45,Etsy,Technology: Consumer Internet,26.0,,26.0,
46,Spotify,Technology: Consumer Internet,26.0,,26.0,
47,Adobe Systems,Technology: Software,26.0,6.0,10.0,
48,AO.com,Retail: Online,26.0,,,
49,Morrison & Foerster LLP,Law Firm,26.0,,,
50,Organizer Inc.,Technology: Software,26.0,,,
51,Worldpay,Technology: Payments,26.0,,,
52,Zynga,Technology: Gaming,26.0,12.0,12.0,
53,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
54,72andsunny,Advertising,24.0,,4.0,
55,Motorola Mobility,Technology: Manufacturing,24.0,,,
56,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
57,ZestFinance,Finance: Loans,24.0,,,
58,World First,Services: Other,24.0,4.0,2.0,
59,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
60,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
61,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
62,Army (British),Government: Federal,39.0,13.0,2.0,
63,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
64,Zurich,Insurance: Life,29.0,,0.0,
65,Etsy,Technology: Consumer Internet,26.0,,26.0,
66,Spotify,Technology: Consumer Internet,26.0,,26.0,
67,Adobe Systems,Technology: Software,26.0,6.0,10.0,
68,AO.com,Retail: Online,26.0,,,
69,Morrison & Foerster LLP,Law Firm,26.0,,,
70,Organizer Inc.,Technology: Software,26.0,,,
71,Worldpay,Technology: Payments,26.0,,,
72,Zynga,Technology: Gaming,26.0,12.0,12.0,
73,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
74,72andsunny,Advertising,24.0,,4.0,
75,Motorola Mobility,Technology: Manufacturing,24.0,,,
76,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
77,ZestFinance,Finance: Loans,24.0,,,
78,World First,Services: Other,24.0,4.0,2.0,
79,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
80,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
81,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
82,Army (British),Government: Federal,39.0,13.0,2.0,
83,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
84,Zurich,Insurance: Life,29.0,,0.0,
85,Etsy,Technology: Consumer Internet,26.0,,26.0,
86,Spotify,Technology: Consumer Internet,26.0,,26.0,
87,Adobe Systems,Technology: Software,26.0,6.0,10.0,
88,AO.com,Retail: Online,26.0,,,
89,Morrison & Foerster LLP,Law Firm,26.0,,,
90,Organizer Inc.,Technology: Software,26.0,,,
91,Worldpay,Technology: Payments,26.0,,,
92,Zynga,Technology: Gaming,26.0,12.0,12.0,
93,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
94,72andsunny,Advertising,24.0,,4.0,
95,Motorola Mobility,Technology: Manufacturing,24.0,,,
96,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
97,ZestFinance,Finance: Loans,24.0,,,
98,World First,Services: Other,24.0,4.0,2.0,
99,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
100,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
101,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
102,Army (British),Government: Federal,39.0,13.0,2.0,
103,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
104,Zurich,Insurance: Life,29.0,,0.0,
105,Etsy,Technology: Consumer Internet,26.0,,26.0,
106,Spotify,Technology: Consumer Internet,26.0,,26.0,
107,Adobe Systems,Technology: Software,26.0,6.0,10.0,
108,AO.com,Retail: Online,26.0,,,
109,Morrison & Foerster LLP,Law Firm,26.0,,,
110,Organizer Inc.,Technology: Software,26.0,,,
111,Worldpay,Technology: Payments,26.0,,,
112,Zynga,Technology: Gaming,26.0,12.0,12.0,
113,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
114,72andsunny,Advertising,24.0,,4.0,
115,Motorola Mobility,Technology: Manufacturing,24.0,,,
116,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
117,ZestFinance,Finance: Loans,24.0,,,
118,World First,Services: Other,24.0,4.0,2.0,
119,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
120,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
121,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
122,Army (British),Government: Federal,39.0,13.0,2.0,
123,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
124,Zurich,Insurance: Life,29.0,,0.0,
125,Etsy,Technology: Consumer Internet,26.0,,26.0,
126,Spotify,Technology: Consumer Internet,26.0,,26.0,
127,Adobe Systems,Technology: Software,26.0,6.0,10.0,
128,AO.com,Retail: Online,26.0,,,
129,Morrison & Foerster LLP,Law Firm,26.0,,,
130,Organizer Inc.,Technology: Software,26.0,,,
131,Worldpay,Technology: Payments,26.0,,,
132,Zynga,Technology: Gaming,26.0,12.0,12.0,
133,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
134,72andsunny,Advertising,24.0,,4.0,
135,Motorola Mobility,Technology: Manufacturing,24.0,,,
136,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
137,ZestFinance,Finance: Loans,24.0,,,
138,World First,Services: Other,24.0,4.0,2.0,
139,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
140,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
141,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
142,Army (British),Government: Federal,39.0,13.0,2.0,
143,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
144,Zurich,Insurance: Life,29.0,,0.0,
145,Etsy,Technology: Consumer Internet,26.0,,26.0,
146,Spotify,Technology: Consumer Internet,26.0,,26.0,
147,Adobe Systems,Technology: Software,26.0,6.0,10.0,
148,AO.com,Retail: Online,26.0,,,
149,Morrison & Foerster LLP,Law Firm,26.0,,,
150,Organizer Inc.,Technology: Software,26.0,,,
151,Worldpay,Technology: Payments,26.0,,,
152,Zynga,Technology: Gaming,26.0,12.0,12.0,
153,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
154,72andsunny,Advertising,24.0,,4.0,
155,Motorola Mobility,Technology: Manufacturing,24.0,,,
156,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
157,ZestFinance,Finance: Loans,24.0,,,
158,World First,Services: Other,24.0,4.0,2.0,
159,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
160,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
161,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
162,Army (British),Government: Federal,39.0,13.0,2.0,
163,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
164,Zurich,Insurance: Life,29.0,,0.0,
165,Etsy,Technology: Consumer Internet,26.0,,26.0,
166,Spotify,Technology: Consumer Internet,26.0,,26.0,
167,Adobe Systems,Technology: Software,26.0,6.0,10.0,
168,AO.com,Retail: Online,26.0,,,
169,Morrison & Foerster LLP,Law Firm,26.0,,,
170,Organizer Inc.,Technology: Software,26.0,,,
171,Worldpay,Technology: Payments,26.0,,,
172,Zynga,Technology: Gaming,26.0,12.0,12.0,
173,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
174,72andsunny,Advertising,24.0,,4.0,
175,Motorola Mobility,Technology: Manufacturing,24.0,,,
176,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
177,ZestFinance,Finance: Loans,24.0,,,
178,World First,Services: Other,24.0,4.0,2.0,
179,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
180,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
181,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
182,Army (British),Government: Federal,39.0,13.0,2.0,
183,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
184,Zurich,Insurance: Life,29.0,,0.0,
185,Etsy,Technology: Consumer Internet,26.0,,26.0,
186,Spotify,Technology: Consumer Internet,26.0,,26.0,
187,Adobe Systems,Technology: Software,26.0,6.0,10.0,
188,AO.com,Retail: Online,26.0,,,
189,Morrison & Foerster LLP,Law Firm,26.0,,,
190,Organizer Inc.,Technology: Software,26.0,,,
191,Worldpay,Technology: Payments,26.0,,,
192,Zynga,Technology: Gaming,26.0,12.0,12.0,
193,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
194,72andsunny,Advertising,24.0,,4.0,
195,Motorola Mobility,Technology: Manufacturing,24.0,,,
196,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
197,ZestFinance,Finance: Loans,24.0,,,
198,World First,Services: Other,24.0,4.0,2.0,
199,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
200,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
201,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
202,Army (British),Government: Federal,39.0,13.0,2.0,
203,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
204,Zurich,Insurance: Life,29.0,,0.0,
205,Etsy,Technology: Consumer Internet,26.0,,26.0,
206,Spotify,Technology: Consumer Internet,26.0,,26.0,
207,Adobe Systems,Technology: Software,26.0,6.0,10.0,
208,AO.com,Retail: Online,26.0,,,
209,Morrison & Foerster LLP,Law Firm,26.0,,,
210,Organizer Inc.,Technology: Software,26.0,,,
211,Worldpay,Technology: Payments,26.0,,,
212,Zynga,Technology: Gaming,26.0,12.0,12.0,
213,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
214,72andsunny,Advertising,24.0,,4.0,
215,Motorola Mobility,Technology: Manufacturing,24.0,,,
216,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
217,ZestFinance,Finance: Loans,24.0,,,
218,World First,Services: Other,24.0,4.0,2.0,
219,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
220,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
221,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
222,Army (British),Government: Federal,39.0,13.0,2.0,
223,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
224,Zurich,Insurance: Life,29.0,,0.0,
225,Etsy,Technology: Consumer Internet,26.0,,26.0,
226,Spotify,Technology: Consumer Internet,26.0,,26.0,
227,Adobe Systems,Technology: Software,26.0,6.0,10.0,
228,AO.com,Retail: Online,26.0,,,
229,Morrison & Foerster LLP,Law Firm,26.0,,,
230,Organizer Inc.,Technology: Software,26.0,,,
231,Worldpay,Technology: Payments,26.0,,,
232,Zynga,Technology: Gaming,26.0,12.0,12.0,
233,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
234,72andsunny,Advertising,24.0,,4.0,
235,Motorola Mobility,Technology: Manufacturing,24.0,,,
236,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
237,ZestFinance,Finance: Loans,24.0,,,
238,World First,Services: Other,24.0,4.0,2.0,
239,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
240,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
241,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
242,Army (British),Government: Federal,39.0,13.0,2.0,
243,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
244,Zurich,Insurance: Life,29.0,,0.0,
245,Etsy,Technology: Consumer Internet,26.0,,26.0,
246,Spotify,Technology: Consumer Internet,26.0,,26.0,
247,Adobe Systems,Technology: Software,26.0,6.0,10.0,
248,AO.com,Retail: Online,26.0,,,
249,Morrison & Foerster LLP,Law Firm,26.0,,,
250,Organizer Inc.,Technology: Software,26.0,,,
251,Worldpay,Technology: Payments,26.0,,,
252,Zynga,Technology: Gaming,26.0,12.0,12.0,
253,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
254,72andsunny,Advertising,24.0,,4.0,
255,Motorola Mobility,Technology: Manufacturing,24.0,,,
256,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
257,ZestFinance,Finance: Loans,24.0,,,
258,World First,Services: Other,24.0,4.0,2.0,
259,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
260,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
261,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
262,Army (British),Government: Federal,39.0,13.0,2.0,
263,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
264,Zurich,Insurance: Life,29.0,,0.0,
265,Etsy,Technology: Consumer Internet,26.0,,26.0,
266,Spotify,Technology: Consumer Internet,26.0,,26.0,
267,Adobe Systems,Technology: Software,26.0,6.0,10.0,
268,AO.com,Retail: Online,26.0,,,
269,Morrison & Foerster LLP,Law Firm,26.0,,,
270,Organizer Inc.,Technology: Software,26.0,,,
271,Worldpay,Technology: Payments,26.0,,,
272,Zynga,Technology: Gaming,26.0,12.0,12.0,
273,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
274,72andsunny,Advertising,24.0,,4.0,
275,Motorola Mobility,Technology: Manufacturing,24.0,,,
276,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
277,ZestFinance,Finance: Loans,24.0,,,
278,World First,Services: Other,24.0,4.0,2.0,
279,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
280,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
281,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
282,Army (British),Government: Federal,39.0,13.0,2.0,
283,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
284,Zurich,Insurance: Life,29.0,,0.0,
285,Etsy,Technology: Consumer Internet,26.0,,26.0,
286,Spotify,Technology: Consumer Internet,26.0,,26.0,
287,Adobe Systems,Technology: Software,26.0,6.0,10.0,
288,AO.com,Retail: Online,26.0,,,
289,Morrison & Foerster LLP,Law Firm,26.0,,,
290,Organizer Inc.,Technology: Software,26.0,,,
291,Worldpay,Technology: Payments,26.0,,,
292,Zynga,Technology: Gaming,26.0,12.0,12.0,
293,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
294,72andsunny,Advertising,24.0,,4.0,
295,Motorola Mobility,Technology: Manufacturing,24.0,,,
296,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
297,ZestFinance,Finance: Loans,24.0,,,
298,World First,Services: Other,24.0,4.0,2.0,
299,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
300,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
301,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
302,Army (British),Government: Federal,39.0,13.0,2.0,
303,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
304,Zurich,Insurance: Life,29.0,,0.0,
305,Etsy,Technology: Consumer Internet,26.0,,26.0,
306,Spotify,Technology: Consumer Internet,26.0,,26.0,
307,Adobe Systems,Technology: Software,26.0,6.0,10.0,
308,AO.com,Retail: Online,26.0,,,
309,Morrison & Foerster LLP,Law Firm,26.0,,,
310,Organizer Inc.,Technology: Software,26.0,,,
311,Worldpay,Technology: Payments,26.0,,,
312,Zynga,Technology: Gaming,26.0,12.0,12.0,
313,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
314,72andsunny,Advertising,24.0,,4.0,
315,Motorola Mobility,Technology: Manufacturing,24.0,,,
316,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
317,ZestFinance,Finance: Loans,24.0,,,
318,World First,Services: Other,24.0,4.0,2.0,
319,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
320,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
321,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
322,Army (British),Government: Federal,39.0,13.0,2.0,
323,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
324,Zurich,Insurance: Life,29.0,,0.0,
325,Etsy,Technology: Consumer Internet,26.0,,26.0,
326,Spotify,Technology: Consumer Internet,26.0,,26.0,
327,Adobe Systems,Technology: Software,26.0,6.0,10.0,
328,AO.com,Retail: Online,26.0,,,
329,Morrison & Foerster LLP,Law Firm,26.0,,,
330,Organizer Inc.,Technology: Software,26.0,,,
331,Worldpay,Technology: Payments,26.0,,,
332,Zynga,Technology: Gaming,26.0,12.0,12.0,
333,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
334,72andsunny,Advertising,24.0,,4.0,
335,Motorola Mobility,Technology: Manufacturing,24.0,,,
336,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
337,ZestFinance,Finance: Loans,24.0,,,
338,World First,Services: Other,24.0,4.0,2.0,
339,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
340,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
341,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
342,Army (British),Government: Federal,39.0,13.0,2.0,
343,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
344,Zurich,Insurance: Life,29.0,,0.0,
345,Etsy,Technology: Consumer Internet,26.0,,26.0,
346,Spotify,Technology: Consumer Internet,26.0,,26.0,
347,Adobe Systems,Technology: Software,26.0,6.0,10.0,
348,AO.com,Retail: Online,26.0,,,
349,Morrison & Foerster LLP,Law Firm,26.0,,,
350,Organizer Inc.,Technology: Software,26.0,,,
351,Worldpay,Technology: Payments,26.0,,,
352,Zynga,Technology: Gaming,26.0,12.0,12.0,
353,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
354,72andsunny,Advertising,24.0,,4.0,
355,Motorola Mobility,Technology: Manufacturing,24.0,,,
356,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
357,ZestFinance,Finance: Loans,24.0,,,
358,World First,Services: Other,24.0,4.0,2.0,
359,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
360,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
361,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
362,Army (British),Government: Federal,39.0,13.0,2.0,
363,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
364,Zurich,Insurance: Life,29.0,,0.0,
365,Etsy,Technology: Consumer Internet,26.0,,26.0,
366,Spotify,Technology: Consumer Internet,26.0,,26.0,
367,Adobe Systems,Technology: Software,26.0,6.0,10.0,
368,AO.com,Retail: Online,26.0,,,
369,Morrison & Foerster LLP,Law Firm,26.0,,,
370,Organizer Inc.,Technology: Software,26.0,,,
371,Worldpay,Technology: Payments,26.0,,,
372,Zynga,Technology: Gaming,26.0,12.0,12.0,
373,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
374,72andsunny,Advertising,24.0,,4.0,
375,Motorola Mobility,Technology: Manufacturing,24.0,,,
376,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
377,ZestFinance,Finance: Loans,24.0,,,
378,World First,Services: Other,24.0,4.0,2.0,
379,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
380,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
381,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
382,Army (British),Government: Federal,39.0,13.0,2.0,
383,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
384,Zurich,Insurance: Life,29.0,,0.0,
385,Etsy,Technology: Consumer Internet,26.0,,26.0,
386,Spotify,Technology: Consumer Internet,26.0,,26.0,
387,Adobe Systems,Technology: Software,26.0,6.0,10.0,
388,AO.com,Retail: Online,26.0,,,
389,Morrison & Foerster LLP,Law Firm,26.0,,,
390,Organizer Inc.,Technology: Software,26.0,,,
391,Worldpay,Technology: Payments,26.0,,,
392,Zynga,Technology: Gaming,26.0,12.0,12.0,
393,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
394,72andsunny,Advertising,24.0,,4.0,
395,Motorola Mobility,Technology: Manufacturing,24.0,,,
396,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
397,ZestFinance,Finance: Loans,24.0,,,
398,World First,Services: Other,24.0,4.0,2.0,
399,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
400,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
401,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
402,Army (British),Government: Federal,39.0,13.0,2.0,
403,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
404,Zurich,Insurance: Life,29.0,,0.0,
405,Etsy,Technology: Consumer Internet,26.0,,26.0,
406,Spotify,Technology: Consumer Internet,26.0,,26.0,
407,Adobe Systems,Technology: Software,26.0,6.0,10.0,
408,AO.com,Retail: Online,26.0,,,
